"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Test Successful new courier creation. Handle:/api/v1/courier","tests","Fri Jun 27 00:41:12 MSK 2025","broken","Fri Jun 27 00:41:12 MSK 2025","TestsCreateNewCourier","test_create_courier","",""
"","1795","Successful order creation with all color variation. Handle:/api/v1/orders","tests","Fri Jun 27 00:41:15 MSK 2025","passed","Fri Jun 27 00:41:17 MSK 2025","TestCreationOrder","test_make_order","",""
"","0","Test Courier Registration Deficit Data Error. Not enough: Login or Password. Handle:/api/v1/courier","tests","Fri Jun 27 00:41:13 MSK 2025","broken","Fri Jun 27 00:41:13 MSK 2025","TestsCreateNewCourier","test_create_courier","",""
"","1","Test Registration of two Identical Couriers Error. Handle:/api/v1/courier","tests","Fri Jun 27 00:41:13 MSK 2025","broken","Fri Jun 27 00:41:13 MSK 2025","TestsCreateNewCourier","test_create_courier","",""
"","502","Successful order creation with all color variation. Handle:/api/v1/orders","tests","Fri Jun 27 00:41:17 MSK 2025","passed","Fri Jun 27 00:41:18 MSK 2025","TestCreationOrder","test_make_order","",""
"","0","Test get order list. Handle:/api/v1/orders","tests","Fri Jun 27 00:41:13 MSK 2025","broken","Fri Jun 27 00:41:13 MSK 2025","TestOrderList","test_get_order_list","",""
"","457","Successful order creation with all color variation. Handle:/api/v1/orders","tests","Fri Jun 27 00:41:18 MSK 2025","passed","Fri Jun 27 00:41:18 MSK 2025","TestCreationOrder","test_make_order","",""
"","0","Test successful courier login with complete login data. Handle:/api/v1/courier/login","tests","Fri Jun 27 00:41:13 MSK 2025","broken","Fri Jun 27 00:41:13 MSK 2025","TestLoginCourier","test_login_courier","",""
"","0","Test Courier Login Deficit Data Error with empty login. Handle:/api/v1/courier/login","tests","Fri Jun 27 00:41:15 MSK 2025","broken","Fri Jun 27 00:41:15 MSK 2025","TestLoginCourier","test_login_courier","",""
"","1","Test Courier Login with non registered account. Handle:/api/v1/courier/login","tests","Fri Jun 27 00:41:14 MSK 2025","broken","Fri Jun 27 00:41:14 MSK 2025","TestLoginCourier","test_login_courier","",""
"","486","Successful order creation with all color variation. Handle:/api/v1/orders","tests","Fri Jun 27 00:41:18 MSK 2025","passed","Fri Jun 27 00:41:18 MSK 2025","TestCreationOrder","test_make_order","",""
"","0","Test Courier Login Deficit Data Error with empty password. Handle:/api/v1/courier/login","tests","Fri Jun 27 00:41:14 MSK 2025","broken","Fri Jun 27 00:41:14 MSK 2025","TestLoginCourier","test_login_courier","",""
